Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_DemoEPD,Chrome 65.0.3325.162,,2018-03-15 21:06:17,2018-03-15 21:06:28,"11,102s",PASSED
,,,,,,
Test Cases/EPD/Test Cases/TC_MaakPatientAan_ControleerPatient_VoegBehandelingToe_VerwijderPatient,Chrome 65.0.3325.162,,2018-03-15 21:06:18,2018-03-15 21:06:28,"10,731s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-15 21:06:18,2018-03-15 21:06:19,"1,327s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-15 21:06:19,2018-03-15 21:06:23,"3,592s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 21:06:23,2018-03-15 21:06:23,"0,130s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 21:06:23,2018-03-15 21:06:23,"0,595s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-15 21:06:23,2018-03-15 21:06:24,"0,231s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 21:06:24,2018-03-15 21:06:24,"0,076s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 21:06:24,2018-03-15 21:06:24,"0,588s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-15 21:06:24,2018-03-15 21:06:27,"2,674s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 21:06:27,2018-03-15 21:06:27,"0,248s",PASSED
verifyElementPresent,Chrome 65.0.3325.162,,2018-03-15 21:06:27,2018-03-15 21:06:27,"0,040s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 21:06:27,2018-03-15 21:06:27,"0,085s",PASSED
acceptAlert,Chrome 65.0.3325.162,,2018-03-15 21:06:27,2018-03-15 21:06:27,"0,022s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-15 21:06:27,2018-03-15 21:06:28,"0,806s",PASSED
