Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RegressionTest,Chrome 65.0.3325.146,,2018-03-13 20:50:08,2018-03-13 20:50:23,"15,138s",PASSED
,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login,Chrome 65.0.3325.146,Verify if users can login successful. \n\nSteps:\n- Click on 'Book Appointment' button to login\n- Input username and password\n- Click on 'Login' button\n\nExpected result:\n'Appointment' section is displayed after successful login,2018-03-13 20:50:08,2018-03-13 20:50:15,"7,082s",PASSED
comment,Chrome 65.0.3325.146,,2018-03-13 20:50:09,2018-03-13 20:50:09,"0,054s",PASSED
comment,Chrome 65.0.3325.146,,2018-03-13 20:50:09,2018-03-13 20:50:09,"0,006s",PASSED
openBrowser,Chrome 65.0.3325.146,,2018-03-13 20:50:09,2018-03-13 20:50:13,"4,652s",PASSED
click,Chrome 65.0.3325.146,,2018-03-13 20:50:13,2018-03-13 20:50:14,"0,465s",PASSED
setText,Chrome 65.0.3325.146,,2018-03-13 20:50:14,2018-03-13 20:50:14,"0,230s",PASSED
setText,Chrome 65.0.3325.146,,2018-03-13 20:50:14,2018-03-13 20:50:14,"0,237s",PASSED
comment,Chrome 65.0.3325.146,,2018-03-13 20:50:14,2018-03-13 20:50:14,"0,002s",PASSED
click,Chrome 65.0.3325.146,,2018-03-13 20:50:14,2018-03-13 20:50:15,"0,355s",PASSED
comment,Chrome 65.0.3325.146,,2018-03-13 20:50:15,2018-03-13 20:50:15,"0,001s",PASSED
"Statement - landingPage = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_CuraAppointment/div_Appointment), G_Timeout)",Chrome 65.0.3325.146,,2018-03-13 20:50:15,2018-03-13 20:50:15,"0,078s",PASSED
closeBrowser,Chrome 65.0.3325.146,,2018-03-13 20:50:15,2018-03-13 20:50:15,"0,630s",PASSED
,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment,Chrome 65.0.3325.146,Verify if users can book an appointment sucessfully.\nPre-condition: Users have already logged in\n\nSteps:\n- Fill in appoinment's information\n- Click on appointment's button\n\nExpected results:\nAppointment Confirmation page is displayed,2018-03-13 20:50:15,2018-03-13 20:50:23,"7,694s",PASSED
comment,Chrome 65.0.3325.146,,2018-03-13 20:50:16,2018-03-13 20:50:16,"0,003s",PASSED
comment,Chrome 65.0.3325.146,,2018-03-13 20:50:16,2018-03-13 20:50:16,"0,009s",PASSED
openBrowser,Chrome 65.0.3325.146,,2018-03-13 20:50:16,2018-03-13 20:50:19,"3,190s",PASSED
callTestCase,Chrome 65.0.3325.146,,2018-03-13 20:50:19,2018-03-13 20:50:21,"1,755s",PASSED
comment,Chrome 65.0.3325.146,,2018-03-13 20:50:21,2018-03-13 20:50:21,"0,001s",PASSED
Statement - If (true),Chrome 65.0.3325.146,,2018-03-13 20:50:21,2018-03-13 20:50:22,"1,045s",PASSED
comment,Chrome 65.0.3325.146,,2018-03-13 20:50:22,2018-03-13 20:50:22,"0,001s",PASSED
click,Chrome 65.0.3325.146,,2018-03-13 20:50:22,2018-03-13 20:50:22,"0,272s",PASSED
verifyTextPresent,Chrome 65.0.3325.146,,2018-03-13 20:50:22,2018-03-13 20:50:22,"0,138s",PASSED
comment,Chrome 65.0.3325.146,,2018-03-13 20:50:22,2018-03-13 20:50:22,"0,000s",PASSED
Statement - If (true),Chrome 65.0.3325.146,,2018-03-13 20:50:22,2018-03-13 20:50:22,"0,322s",PASSED
closeBrowser,Chrome 65.0.3325.146,,2018-03-13 20:50:22,2018-03-13 20:50:23,"0,668s",PASSED
