Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_DemoEPD,Chrome 65.0.3325.162,,2018-03-15 21:48:55,2018-03-15 21:49:06,"11,134s",PASSED
,,,,,,
Test Cases/EPD/Test Cases/TC_MaakPatientAan_ControleerPatient_VoegBehandelingToe_VerwijderPatient,Chrome 65.0.3325.162,,2018-03-15 21:48:55,2018-03-15 21:49:06,"10,781s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-15 21:48:55,2018-03-15 21:48:57,"1,540s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-15 21:48:57,2018-03-15 21:49:01,"3,828s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 21:49:01,2018-03-15 21:49:01,"0,167s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 21:49:01,2018-03-15 21:49:02,"0,612s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-15 21:49:02,2018-03-15 21:49:02,"0,271s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 21:49:02,2018-03-15 21:49:02,"0,140s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 21:49:02,2018-03-15 21:49:02,"0,130s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-15 21:49:02,2018-03-15 21:49:04,"2,385s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 21:49:04,2018-03-15 21:49:05,"0,355s",PASSED
verifyElementPresent,Chrome 65.0.3325.162,,2018-03-15 21:49:05,2018-03-15 21:49:05,"0,041s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 21:49:05,2018-03-15 21:49:05,"0,109s",PASSED
acceptAlert,Chrome 65.0.3325.162,,2018-03-15 21:49:05,2018-03-15 21:49:05,"0,017s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-15 21:49:05,2018-03-15 21:49:06,"0,824s",PASSED
