Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_DemoEPD,Chrome 65.0.3325.109,,2018-03-18 13:40:10,2018-03-18 13:40:57,"46,506s",FAILED
,,,,,,
Test Cases/EPD/Test Cases/TC_MaakPatientAan_ControleerPatient_VoegBehandelingToe_VerwijderPatient,Chrome 65.0.3325.109,,2018-03-18 13:40:11,2018-03-18 13:40:53,"42,443s",FAILED
callTestCase,Chrome 65.0.3325.109,,2018-03-18 13:40:11,2018-03-18 13:40:12,"1,243s",PASSED
callTestCase,Chrome 65.0.3325.109,,2018-03-18 13:40:12,2018-03-18 13:40:41,"28,480s",PASSED
click,Chrome 65.0.3325.109,,2018-03-18 13:40:41,2018-03-18 13:40:41,"0,378s",PASSED
click,Chrome 65.0.3325.109,,2018-03-18 13:40:41,2018-03-18 13:40:42,"1,021s",PASSED
callTestCase,Chrome 65.0.3325.109,,2018-03-18 13:40:42,2018-03-18 13:40:43,"0,595s",PASSED
click,Chrome 65.0.3325.109,,2018-03-18 13:40:43,2018-03-18 13:40:44,"0,871s",PASSED
click,Chrome 65.0.3325.109,,2018-03-18 13:40:44,2018-03-18 13:40:46,"2,234s",PASSED
callTestCase,Chrome 65.0.3325.109,,2018-03-18 13:40:46,2018-03-18 13:40:53,"7,342s",FAILED
