Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RegressionTest,Chrome 65.0.3325.146,,2018-03-13 20:42:06,2018-03-13 20:42:21,"15,142s",PASSED
,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login,Chrome 65.0.3325.146,Verify if users can login successful. \n\nSteps:\n- Click on 'Book Appointment' button to login\n- Input username and password\n- Click on 'Login' button\n\nExpected result:\n'Appointment' section is displayed after successful login,2018-03-13 20:42:06,2018-03-13 20:42:14,"7,384s",PASSED
comment,Chrome 65.0.3325.146,,2018-03-13 20:42:07,2018-03-13 20:42:07,"0,040s",PASSED
comment,Chrome 65.0.3325.146,,2018-03-13 20:42:07,2018-03-13 20:42:07,"0,001s",PASSED
openBrowser,Chrome 65.0.3325.146,,2018-03-13 20:42:07,2018-03-13 20:42:12,"4,938s",PASSED
click,Chrome 65.0.3325.146,,2018-03-13 20:42:12,2018-03-13 20:42:12,"0,458s",PASSED
setText,Chrome 65.0.3325.146,,2018-03-13 20:42:12,2018-03-13 20:42:13,"0,257s",PASSED
setText,Chrome 65.0.3325.146,,2018-03-13 20:42:13,2018-03-13 20:42:13,"0,226s",PASSED
comment,Chrome 65.0.3325.146,,2018-03-13 20:42:13,2018-03-13 20:42:13,"0,002s",PASSED
click,Chrome 65.0.3325.146,,2018-03-13 20:42:13,2018-03-13 20:42:13,"0,382s",PASSED
comment,Chrome 65.0.3325.146,,2018-03-13 20:42:13,2018-03-13 20:42:13,"0,001s",PASSED
"Statement - landingPage = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_CuraAppointment/div_Appointment), G_Timeout)",Chrome 65.0.3325.146,,2018-03-13 20:42:13,2018-03-13 20:42:13,"0,070s",PASSED
closeBrowser,Chrome 65.0.3325.146,,2018-03-13 20:42:13,2018-03-13 20:42:14,"0,641s",PASSED
,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment,Chrome 65.0.3325.146,Verify if users can book an appointment sucessfully.\nPre-condition: Users have already logged in\n\nSteps:\n- Fill in appoinment's information\n- Click on appointment's button\n\nExpected results:\nAppointment Confirmation page is displayed,2018-03-13 20:42:14,2018-03-13 20:42:21,"7,392s",PASSED
comment,Chrome 65.0.3325.146,,2018-03-13 20:42:14,2018-03-13 20:42:14,"0,002s",PASSED
comment,Chrome 65.0.3325.146,,2018-03-13 20:42:14,2018-03-13 20:42:14,"0,002s",PASSED
openBrowser,Chrome 65.0.3325.146,,2018-03-13 20:42:14,2018-03-13 20:42:17,"3,362s",PASSED
callTestCase,Chrome 65.0.3325.146,,2018-03-13 20:42:17,2018-03-13 20:42:19,"1,467s",PASSED
comment,Chrome 65.0.3325.146,,2018-03-13 20:42:19,2018-03-13 20:42:19,"0,001s",PASSED
Statement - If (true),Chrome 65.0.3325.146,,2018-03-13 20:42:19,2018-03-13 20:42:20,"1,044s",PASSED
comment,Chrome 65.0.3325.146,,2018-03-13 20:42:20,2018-03-13 20:42:20,"0,001s",PASSED
click,Chrome 65.0.3325.146,,2018-03-13 20:42:20,2018-03-13 20:42:20,"0,257s",PASSED
verifyTextPresent,Chrome 65.0.3325.146,,2018-03-13 20:42:20,2018-03-13 20:42:20,"0,124s",PASSED
comment,Chrome 65.0.3325.146,,2018-03-13 20:42:20,2018-03-13 20:42:20,"0,001s",PASSED
Statement - If (true),Chrome 65.0.3325.146,,2018-03-13 20:42:20,2018-03-13 20:42:21,"0,300s",PASSED
closeBrowser,Chrome 65.0.3325.146,,2018-03-13 20:42:21,2018-03-13 20:42:21,"0,660s",PASSED
