Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_DemoEPD,Chrome 65.0.3325.162,,2018-03-15 21:35:42,2018-03-15 21:36:13,"31,071s",FAILED
,,,,,,
Test Cases/EPD/Test Cases/TC_MaakPatientAan_ControleerPatient_VoegBehandelingToe_VerwijderPatient,Chrome 65.0.3325.162,,2018-03-15 21:35:42,2018-03-15 21:36:12,"30,076s",FAILED
callTestCase,Chrome 65.0.3325.162,,2018-03-15 21:35:42,2018-03-15 21:35:44,"1,346s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-15 21:35:44,2018-03-15 21:35:47,"3,560s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 21:35:47,2018-03-15 21:35:47,"0,124s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 21:35:47,2018-03-15 21:35:48,"0,586s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-15 21:35:48,2018-03-15 21:35:48,"0,237s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 21:35:48,2018-03-15 21:35:48,"0,081s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 21:35:48,2018-03-15 21:35:49,"0,597s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-15 21:35:49,2018-03-15 21:35:51,"1,963s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 21:35:51,2018-03-15 21:35:51,"0,241s",PASSED
verifyElementPresent,Chrome 65.0.3325.162,,2018-03-15 21:35:51,2018-03-15 21:36:12,"21,004s",FAILED
