Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RegressionTest,Chrome 65.0.3325.146,,2018-03-09 09:03:30,2018-03-09 09:03:43,"12,868s",FAILED
,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login,Chrome 65.0.3325.146,Verify if users can login successful. \n\nSteps:\n- Click on 'Book Appointment' button to login\n- Input username and password\n- Click on 'Login' button\n\nExpected result:\n'Appointment' section is displayed after successful login,2018-03-09 09:03:30,2018-03-09 09:03:37,"6,585s",PASSED
comment,Chrome 65.0.3325.146,,2018-03-09 09:03:30,2018-03-09 09:03:30,"0,044s",PASSED
comment,Chrome 65.0.3325.146,,2018-03-09 09:03:30,2018-03-09 09:03:30,"0,003s",PASSED
openBrowser,Chrome 65.0.3325.146,,2018-03-09 09:03:30,2018-03-09 09:03:35,"4,448s",PASSED
click,Chrome 65.0.3325.146,,2018-03-09 09:03:35,2018-03-09 09:03:35,"0,364s",PASSED
setText,Chrome 65.0.3325.146,,2018-03-09 09:03:35,2018-03-09 09:03:35,"0,140s",PASSED
setText,Chrome 65.0.3325.146,,2018-03-09 09:03:35,2018-03-09 09:03:36,"0,171s",PASSED
comment,Chrome 65.0.3325.146,,2018-03-09 09:03:36,2018-03-09 09:03:36,"0,001s",PASSED
click,Chrome 65.0.3325.146,,2018-03-09 09:03:36,2018-03-09 09:03:36,"0,377s",PASSED
comment,Chrome 65.0.3325.146,,2018-03-09 09:03:36,2018-03-09 09:03:36,"0,001s",PASSED
"Statement - landingPage = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_CuraAppointment/div_Appointment), G_Timeout)",Chrome 65.0.3325.146,,2018-03-09 09:03:36,2018-03-09 09:03:36,"0,062s",PASSED
closeBrowser,Chrome 65.0.3325.146,,2018-03-09 09:03:36,2018-03-09 09:03:37,"0,611s",PASSED
,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment,Chrome 65.0.3325.146,Verify if users can book an appointment sucessfully.\nPre-condition: Users have already logged in\n\nSteps:\n- Fill in appoinment's information\n- Click on appointment's button\n\nExpected results:\nAppointment Confirmation page is displayed,2018-03-09 09:03:37,2018-03-09 09:03:42,"5,351s",FAILED
comment,Chrome 65.0.3325.146,,2018-03-09 09:03:37,2018-03-09 09:03:37,"0,002s",PASSED
comment,Chrome 65.0.3325.146,,2018-03-09 09:03:37,2018-03-09 09:03:37,"0,002s",PASSED
openBrowser,Chrome 65.0.3325.146,,2018-03-09 09:03:37,2018-03-09 09:03:40,"2,981s",PASSED
callTestCase,Chrome 65.0.3325.146,,2018-03-09 09:03:40,2018-03-09 09:03:41,"1,165s",PASSED
comment,Chrome 65.0.3325.146,,2018-03-09 09:03:41,2018-03-09 09:03:41,"0,001s",PASSED
Statement - If (true),Chrome 65.0.3325.146,,2018-03-09 09:03:41,2018-03-09 09:03:42,"0,703s",PASSED
comment,Chrome 65.0.3325.146,,2018-03-09 09:03:42,2018-03-09 09:03:42,"0,001s",PASSED
click,Chrome 65.0.3325.146,,2018-03-09 09:03:42,2018-03-09 09:03:42,"0,001s",NOT_RUN
verifyTextPresent,Chrome 65.0.3325.146,,2018-03-09 09:03:42,2018-03-09 09:03:42,"0,374s",FAILED
