Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_DemoEPD,Chrome 65.0.3325.109,,2018-03-19 22:18:25,2018-03-19 22:19:07,"41,241s",FAILED
,,,,,,
Test Cases/EPD/Test Cases/TC_MaakPatientAan_ControleerPatient_VoegBehandelingToe_VerwijderPatient,Chrome 65.0.3325.109,,2018-03-19 22:18:26,2018-03-19 22:19:03,"37,018s",FAILED
callTestCase,Chrome 65.0.3325.109,,2018-03-19 22:18:26,2018-03-19 22:18:27,"1,451s",PASSED
callTestCase,Chrome 65.0.3325.109,,2018-03-19 22:18:27,2018-03-19 22:18:57,"30,071s",PASSED
click,Chrome 65.0.3325.109,,2018-03-19 22:18:57,2018-03-19 22:18:58,"0,390s",PASSED
click,Chrome 65.0.3325.109,,2018-03-19 22:18:58,2018-03-19 22:18:59,"1,101s",PASSED
callTestCase,Chrome 65.0.3325.109,,2018-03-19 22:18:59,2018-03-19 22:18:59,"0,586s",PASSED
click,Chrome 65.0.3325.109,,2018-03-19 22:18:59,2018-03-19 22:19:00,"0,482s",PASSED
click,Chrome 65.0.3325.109,,2018-03-19 22:19:00,2018-03-19 22:19:01,"1,120s",PASSED
callTestCase,Chrome 65.0.3325.109,,2018-03-19 22:19:01,2018-03-19 22:19:03,"1,513s",FAILED
