Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_DemoEPD,Chrome 65.0.3325.162,,2018-03-18 12:40:47,2018-03-18 12:40:59,"12,510s",PASSED
,,,,,,
Test Cases/EPD/Test Cases/TC_MaakPatientAan_ControleerPatient_VoegBehandelingToe_VerwijderPatient,Chrome 65.0.3325.162,,2018-03-18 12:40:47,2018-03-18 12:40:59,"12,148s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-18 12:40:47,2018-03-18 12:40:49,"1,349s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-18 12:40:49,2018-03-18 12:40:52,"3,826s",PASSED
click,Chrome 65.0.3325.162,,2018-03-18 12:40:52,2018-03-18 12:40:52,"0,130s",PASSED
click,Chrome 65.0.3325.162,,2018-03-18 12:40:52,2018-03-18 12:40:53,"0,609s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-18 12:40:53,2018-03-18 12:40:53,"0,270s",PASSED
click,Chrome 65.0.3325.162,,2018-03-18 12:40:53,2018-03-18 12:40:53,"0,088s",PASSED
click,Chrome 65.0.3325.162,,2018-03-18 12:40:53,2018-03-18 12:40:54,"0,631s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-18 12:40:54,2018-03-18 12:40:58,"3,651s",PASSED
click,Chrome 65.0.3325.162,,2018-03-18 12:40:58,2018-03-18 12:40:58,"0,342s",PASSED
verifyElementPresent,Chrome 65.0.3325.162,,2018-03-18 12:40:58,2018-03-18 12:40:58,"0,040s",PASSED
click,Chrome 65.0.3325.162,,2018-03-18 12:40:58,2018-03-18 12:40:58,"0,090s",PASSED
acceptAlert,Chrome 65.0.3325.162,,2018-03-18 12:40:58,2018-03-18 12:40:58,"0,019s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-18 12:40:58,2018-03-18 12:40:59,"0,796s",PASSED
