Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_DemoEPD,Chrome 65.0.3325.162,,2018-03-15 21:28:53,2018-03-15 21:29:34,"41,186s",FAILED
,,,,,,
Test Cases/EPD/Test Cases/TC_MaakPatientAan_ControleerPatient_VoegBehandelingToe_VerwijderPatient,Chrome 65.0.3325.162,,2018-03-15 21:28:53,2018-03-15 21:29:33,"40,177s",FAILED
callTestCase,Chrome 65.0.3325.162,,2018-03-15 21:28:53,2018-03-15 21:28:55,"1,294s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-15 21:28:55,2018-03-15 21:28:58,"3,581s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 21:28:58,2018-03-15 21:28:58,"0,129s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 21:28:58,2018-03-15 21:28:59,"0,593s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-15 21:28:59,2018-03-15 21:28:59,"0,244s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 21:28:59,2018-03-15 21:28:59,"0,084s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 21:28:59,2018-03-15 21:29:00,"0,592s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-15 21:29:00,2018-03-15 21:29:02,"1,895s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 21:29:02,2018-03-15 21:29:02,"0,238s",PASSED
verifyElementPresent,Chrome 65.0.3325.162,,2018-03-15 21:29:02,2018-03-15 21:29:33,"31,239s",FAILED
