Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
demoEPD,Chrome 65.0.3325.146,,2018-03-13 21:04:55,2018-03-13 21:05:03,"8,129s",PASSED
,,,,,,
Test Cases/EPD/Test Cases/TC_MaakPatientAanEnControleerAangemaaktePatient,Chrome 65.0.3325.146,,2018-03-13 21:04:55,2018-03-13 21:05:03,"7,773s",PASSED
callTestCase,Chrome 65.0.3325.146,,2018-03-13 21:04:55,2018-03-13 21:04:57,"1,545s",PASSED
callTestCase,Chrome 65.0.3325.146,,2018-03-13 21:04:57,2018-03-13 21:05:01,"3,940s",PASSED
click,Chrome 65.0.3325.146,,2018-03-13 21:05:01,2018-03-13 21:05:01,"0,144s",PASSED
click,Chrome 65.0.3325.146,,2018-03-13 21:05:01,2018-03-13 21:05:02,"0,642s",PASSED
callTestCase,Chrome 65.0.3325.146,,2018-03-13 21:05:02,2018-03-13 21:05:02,"0,331s",PASSED
callTestCase,Chrome 65.0.3325.146,,2018-03-13 21:05:02,2018-03-13 21:05:03,"0,831s",PASSED
