Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_DemoEPD,Chrome 65.0.3325.162,,2018-03-20 20:05:38,2018-03-20 20:06:06,"28,246s",PASSED
,,,,,,
Test Cases/EPD/Test Cases/TC_RestMaakPatientAan_ControleerPatient_VoegBehandelingToe_VerwijderPatient,Chrome 65.0.3325.162,,2018-03-20 20:05:38,2018-03-20 20:05:53,"14,198s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-20 20:05:39,2018-03-20 20:05:42,"2,821s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-20 20:05:42,2018-03-20 20:05:47,"5,195s",PASSED
click,Chrome 65.0.3325.162,,2018-03-20 20:05:47,2018-03-20 20:05:47,"0,165s",PASSED
click,Chrome 65.0.3325.162,,2018-03-20 20:05:47,2018-03-20 20:05:48,"0,639s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-20 20:05:48,2018-03-20 20:05:48,"0,294s",PASSED
click,Chrome 65.0.3325.162,,2018-03-20 20:05:48,2018-03-20 20:05:48,"0,133s",PASSED
click,Chrome 65.0.3325.162,,2018-03-20 20:05:48,2018-03-20 20:05:49,"0,631s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-20 20:05:49,2018-03-20 20:05:50,"1,616s",PASSED
click,Chrome 65.0.3325.162,,2018-03-20 20:05:50,2018-03-20 20:05:51,"0,451s",PASSED
verifyElementPresent,Chrome 65.0.3325.162,,2018-03-20 20:05:51,2018-03-20 20:05:51,"0,041s",PASSED
click,Chrome 65.0.3325.162,,2018-03-20 20:05:51,2018-03-20 20:05:51,"0,142s",PASSED
acceptAlert,Chrome 65.0.3325.162,,2018-03-20 20:05:51,2018-03-20 20:05:51,"0,022s",PASSED
verifyElementPresent,Chrome 65.0.3325.162,,2018-03-20 20:05:51,2018-03-20 20:05:52,"0,736s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-20 20:05:52,2018-03-20 20:05:53,"0,853s",PASSED
,,,,,,
Test Cases/EPD/Test Cases/TC_MaakPatientAan_ControleerPatient_VoegBehandelingToe_VerwijderPatient,Chrome 65.0.3325.162,,2018-03-20 20:05:53,2018-03-20 20:06:06,"13,658s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-20 20:05:53,2018-03-20 20:05:57,"4,337s",PASSED
click,Chrome 65.0.3325.162,,2018-03-20 20:05:57,2018-03-20 20:05:57,"0,118s",PASSED
click,Chrome 65.0.3325.162,,2018-03-20 20:05:57,2018-03-20 20:05:58,"0,623s",PASSED
click,Chrome 65.0.3325.162,,2018-03-20 20:05:58,2018-03-20 20:05:59,"0,641s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-20 20:05:59,2018-03-20 20:06:01,"2,660s",PASSED
click,Chrome 65.0.3325.162,,2018-03-20 20:06:01,2018-03-20 20:06:02,"0,609s",PASSED
verifyElementPresent,Chrome 65.0.3325.162,,2018-03-20 20:06:02,2018-03-20 20:06:02,"0,032s",PASSED
click,Chrome 65.0.3325.162,,2018-03-20 20:06:02,2018-03-20 20:06:02,"0,124s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-20 20:06:02,2018-03-20 20:06:04,"1,879s",PASSED
click,Chrome 65.0.3325.162,,2018-03-20 20:06:04,2018-03-20 20:06:05,"0,733s",PASSED
verifyElementPresent,Chrome 65.0.3325.162,,2018-03-20 20:06:05,2018-03-20 20:06:05,"0,035s",PASSED
click,Chrome 65.0.3325.162,,2018-03-20 20:06:05,2018-03-20 20:06:05,"0,119s",PASSED
acceptAlert,Chrome 65.0.3325.162,,2018-03-20 20:06:05,2018-03-20 20:06:05,"0,009s",PASSED
verifyElementPresent,Chrome 65.0.3325.162,,2018-03-20 20:06:05,2018-03-20 20:06:06,"0,865s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-20 20:06:06,2018-03-20 20:06:06,"0,706s",PASSED
