Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_DemoEPD,Chrome 65.0.3325.162,,2018-03-18 13:00:22,2018-03-18 13:00:43,"21,426s",PASSED
,,,,,,
Test Cases/EPD/Test Cases/TC_MaakPatientAan_ControleerPatient_VoegBehandelingToe_VerwijderPatient,Chrome 65.0.3325.162,,2018-03-18 13:00:22,2018-03-18 13:00:32,"10,090s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-18 13:00:22,2018-03-18 13:00:24,"1,275s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-18 13:00:24,2018-03-18 13:00:27,"3,569s",PASSED
click,Chrome 65.0.3325.162,,2018-03-18 13:00:27,2018-03-18 13:00:27,"0,136s",PASSED
click,Chrome 65.0.3325.162,,2018-03-18 13:00:27,2018-03-18 13:00:28,"0,628s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-18 13:00:28,2018-03-18 13:00:28,"0,240s",PASSED
click,Chrome 65.0.3325.162,,2018-03-18 13:00:28,2018-03-18 13:00:28,"0,091s",PASSED
click,Chrome 65.0.3325.162,,2018-03-18 13:00:28,2018-03-18 13:00:29,"0,611s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-18 13:00:29,2018-03-18 13:00:31,"2,001s",PASSED
click,Chrome 65.0.3325.162,,2018-03-18 13:00:31,2018-03-18 13:00:31,"0,254s",PASSED
verifyElementPresent,Chrome 65.0.3325.162,,2018-03-18 13:00:31,2018-03-18 13:00:31,"0,034s",PASSED
click,Chrome 65.0.3325.162,,2018-03-18 13:00:31,2018-03-18 13:00:31,"0,110s",PASSED
acceptAlert,Chrome 65.0.3325.162,,2018-03-18 13:00:31,2018-03-18 13:00:31,"0,017s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-18 13:00:31,2018-03-18 13:00:32,"0,861s",PASSED
,,,,,,
Test Cases/EPD/Test Cases/TC_MaakPatientAan_ControleerPatient_VoegBehandelingToe_VerwijderPatient,Chrome 65.0.3325.162,,2018-03-18 13:00:32,2018-03-18 13:00:43,"10,958s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-18 13:00:32,2018-03-18 13:00:32,"0,248s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-18 13:00:32,2018-03-18 13:00:35,"2,709s",PASSED
click,Chrome 65.0.3325.162,,2018-03-18 13:00:35,2018-03-18 13:00:35,"0,113s",PASSED
click,Chrome 65.0.3325.162,,2018-03-18 13:00:35,2018-03-18 13:00:36,"0,609s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-18 13:00:36,2018-03-18 13:00:36,"0,128s",PASSED
click,Chrome 65.0.3325.162,,2018-03-18 13:00:36,2018-03-18 13:00:37,"1,446s",PASSED
click,Chrome 65.0.3325.162,,2018-03-18 13:00:37,2018-03-18 13:00:38,"0,624s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-18 13:00:38,2018-03-18 13:00:42,"3,855s",PASSED
click,Chrome 65.0.3325.162,,2018-03-18 13:00:42,2018-03-18 13:00:42,"0,384s",PASSED
verifyElementPresent,Chrome 65.0.3325.162,,2018-03-18 13:00:42,2018-03-18 13:00:42,"0,030s",PASSED
click,Chrome 65.0.3325.162,,2018-03-18 13:00:42,2018-03-18 13:00:42,"0,089s",PASSED
acceptAlert,Chrome 65.0.3325.162,,2018-03-18 13:00:42,2018-03-18 13:00:42,"0,011s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-18 13:00:42,2018-03-18 13:00:43,"0,698s",PASSED
