Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_DemoEPD,Chrome 65.0.3325.162,,2018-03-15 21:26:43,2018-03-15 21:26:54,"10,910s",PASSED
,,,,,,
Test Cases/EPD/Test Cases/TC_MaakPatientAan_ControleerPatient_VoegBehandelingToe_VerwijderPatient,Chrome 65.0.3325.162,,2018-03-15 21:26:44,2018-03-15 21:26:54,"10,513s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-15 21:26:44,2018-03-15 21:26:45,"1,339s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-15 21:26:45,2018-03-15 21:26:49,"3,602s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 21:26:49,2018-03-15 21:26:49,"0,133s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 21:26:49,2018-03-15 21:26:50,"0,597s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-15 21:26:50,2018-03-15 21:26:50,"0,223s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 21:26:50,2018-03-15 21:26:50,"0,076s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 21:26:50,2018-03-15 21:26:50,"0,589s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-15 21:26:50,2018-03-15 21:26:53,"2,404s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 21:26:53,2018-03-15 21:26:53,"0,256s",PASSED
verifyElementPresent,Chrome 65.0.3325.162,,2018-03-15 21:26:53,2018-03-15 21:26:53,"0,035s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 21:26:53,2018-03-15 21:26:53,"0,080s",PASSED
acceptAlert,Chrome 65.0.3325.162,,2018-03-15 21:26:53,2018-03-15 21:26:53,"0,018s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-15 21:26:53,2018-03-15 21:26:54,"0,786s",PASSED
