Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_DemoEPD,Chrome 65.0.3325.162,,2018-03-15 21:22:01,2018-03-15 21:22:11,"10,355s",PASSED
,,,,,,
Test Cases/EPD/Test Cases/TC_MaakPatientAan_ControleerPatient_VoegBehandelingToe_VerwijderPatient,Chrome 65.0.3325.162,,2018-03-15 21:22:01,2018-03-15 21:22:11,"9,976s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-15 21:22:01,2018-03-15 21:22:03,"1,328s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-15 21:22:03,2018-03-15 21:22:06,"3,602s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 21:22:06,2018-03-15 21:22:06,"0,125s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 21:22:06,2018-03-15 21:22:07,"0,593s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-15 21:22:07,2018-03-15 21:22:07,"0,227s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 21:22:07,2018-03-15 21:22:07,"0,083s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 21:22:07,2018-03-15 21:22:08,"0,593s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-15 21:22:08,2018-03-15 21:22:10,"1,978s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 21:22:10,2018-03-15 21:22:10,"0,230s",PASSED
verifyElementPresent,Chrome 65.0.3325.162,,2018-03-15 21:22:10,2018-03-15 21:22:10,"0,028s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 21:22:10,2018-03-15 21:22:10,"0,082s",PASSED
acceptAlert,Chrome 65.0.3325.162,,2018-03-15 21:22:10,2018-03-15 21:22:10,"0,016s",PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-15 21:22:10,2018-03-15 21:22:11,"0,785s",PASSED
